date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
5/28/19 22:56,MayorJenny,,12,6,40,"I urge Congress to pass HR 6, which would provide a pathway to citizenship for 17,200 Seattle-area residents. I am grateful to @CMLGonzalez and @RepJayapal for their leadership as we stand up for our immigrant neighbors. Read more:",,@CMLGonzalez @RepJayapal,,1.13E+18,https://twitter.com/MayorJenny/status/1133507340215435265
5/28/19 20:27,MayorJenny,,16,4,12,"We have a responsibility protect the safety of our neighborhoods and communities while also ensuring they are welcoming, vibrant and active places for people to live, work & play. Read more about steps we're taking to improve public safety across Seattle:",,,,1.13E+18,https://twitter.com/MayorJenny/status/1133469822442807296
5/28/19 19:06,MayorJenny,,5,1,7,I want to thank all of the small business owners and Capitol Hill community members that joined me for this morning's neighborhood walk. I always enjoy these opportunities to get out of City Hall and discuss things happening in our communities.,,,,1.13E+18,https://twitter.com/MayorJenny/status/1133449368130998273
5/27/19 16:19,MayorJenny,,4,0,30,"Today on Memorial Day, we remember and thank all those who have served and made the ultimate sacrifice for this country we love. Throughout the year, I visit my parents, who rest at the Tahoma National Cemetery. But visiting on Memorial Day weekend has a special meaning.",,,,1.13E+18,https://twitter.com/MayorJenny/status/1133045164329431040
5/24/19 21:50,MayorJenny,SeattlePD,10,4,44,Incredible work from the @SeattlePD team working to keep our city safe.,,@SeattlePD,,1.13E+18,https://twitter.com/MayorJenny/status/1132041287480123392
5/23/19 23:04,MayorJenny,,11,2,18,"Developing Ft. Lawton will allow us to add hundreds of more affordable homes while ensuring that our neighborhoods can be vibrant, livable spaces - today, and for the next generation.",,,,1.13E+18,https://twitter.com/MayorJenny/status/1131697369953652737
5/22/19 22:15,MayorJenny,,12,2,7,"Thank you to @SeattleRotary4 for the opportunity to join you today to discuss the challenges facing our City. Organizations like yours that believe in public service, and bringing everyone to the table to to make our City stronger help make Seattle such a vibrant place to live.",,@SeattleRotary4,,1.13E+18,https://twitter.com/MayorJenny/status/1131322742882459651
5/22/19 20:13,MayorJenny,SeattleHSD,3,1,5,Huge thanks to @SeattleHSD for the chance to attend this morning's all-staff meeting. Thank you for all the hard work you do everyday to help our City's most vulnerable populations.,,@SeattleHSD,,1.13E+18,https://twitter.com/MayorJenny/status/1131291972856033280
5/22/19 02:31,MayorJenny,seattlestorm,2,3,23,"Wishing you the best and speediest recovery, @sbird10! If you or Stewie ever need a physical therapy partner, my knee is still on the mend - I can join you!",,@sbird10,,1.13E+18,https://twitter.com/MayorJenny/status/1131024831787356160
5/21/19 20:45,MayorJenny,,18,11,72,To all those who claim to be “pro-life” – where is our universal health care? Where is our investment in opportunity so that every child can build a better future? #StopTheBans,,,#StopTheBans,1.13E+18,https://twitter.com/MayorJenny/status/1130937760536076288
